#2019;;;
New; First; Full; Last
Jan 5; Jan 13; Jan 20; Jan 27
Feb 4; Feb 12; Feb 19; Feb 26
Mar 6; Mar 14; Mar 20; Mar 27
Apr 5; Apr 12; Apr 19; Apr 26
May 4; May 11; May 18; May 26
Jun 3; Jun 9; Jun 17; Jun 25
Jul 2; Jul 9; Jul 16; Jul 24
Jul 31; Aug 7; Aug 15; Aug 23
Aug 30; Sep 5; Sep 13; Sep 21
Sep 28; Oct 5; Oct 13; Oct 21
Oct 27; Nov 4; Nov 12; Nov 19
Nov 26; Dec 3; Dec 11; Dec 18
Dec 25;  ;  ;  


#2018;;;
New; First; Full; Last
      ;       ; JAN 1; JAN 8 
JAN 16; JAN 24; JAN 31; FEB 7
FEB 15; FEB 23; MAR 1; MAR 9
MAR 17; MAR 24; MAR 31; APR 8
APR 15; APR 22; APR 29; MAY 7
MAY 15; MAY 21; MAY 29; JUN 6
JUN 13; JUN 20; JUN 27; JUL 6
JUL 12; JUL 19; JUL 27; AUG 4
AUG 11; AUG 18; AUG 26; SEP 2
SEP 9; SEP 16; SEP 24; OCT 2
OCT 8; OCT 16; OCT 24; OCT 31
NOV 7; NOV 15; NOV 22; NOV 29
DEC 6; DEC 15; DEC 22; DEC 29


#2017;;;
New; First; Full; Last
      ; JAN 5; JAN 12; JAN 19
JAN 27; FEB 3; FEB 10; FEB 18
FEB 26; MAR 5; MAR 12; MAR 20
MAR 27; APR 3; APR 10; APR 19
APR 26; MAY 2; MAY 10; MAY 18
MAY 25; JUN 1; JUN 9; JUN 17
JUN 23; JUN 30; JUL 8; JUL 16
JUL 23; JUL 30; AUG 7; AUG 14
AUG 21; AUG 29; SEP 6; SEP 12
SEP 19; SEP 27; OCT 5; OCT 12
OCT 19; OCT 27; NOV 3; NOV 10
NOV 18; NOV 26; DEC 3; DEC 9
DEC 17; DEC 26;  ;  

# Fonte: http://griffithobservatory.org/sky/skytable/skymoonphases2019.html
